"Name","Gross Export","Share","Code","Sector"
"Electrical apparatus for > 1k volts","15616118","0.37914106834840516","8535","Electronics"
"Electrical apparatus for < 1k volts","48053630","1.1666858957020543","8536","Electronics"
"Electrical boards","89168012","2.1648949714764845","8537","Electronics"
"Parts for electrical apparatus","32457865","0.7880389743730362","8538","Electronics"
"Electrical filament","13457867","0.32674126002830833","8539","Electronics"
"Thermionic, cold cathode or photocathode tubes","836526","0.02030987223208854","8540","Electronics"
"Semiconductor devices","137262074","3.3325625088179947","8541","Electronics"
"Electronic integrated circuits","1192593032","28.954763037609204","8542","Electronics"
"Electrical machines with individual functions n.e.c.","33191918","0.8058609220968145","8543","Electronics"
"Insulated electrical wire","24189758","0.5872990131868485","8544","Electronics"
"Carbon articles for eletrical purposes","1518953","0.03687840109757208","8545","Electronics"
"Electrical insulators of any material","685128","0.016634105984304558","8546","Electronics"
"Insulating fittings for electrical machines","2530915","0.06144765408400499","8547","Electronics"
"Waste and scrap of batteries","1631296","0.039605957654295386","8548","Electronics"
"Optical fibers","10784880","0.2618442640616156","9001","Machinery"
"Lenses and other optical elements","4236903","0.10286704608075854","9002","Machinery"
"Frames for spectacles, goggles","1677303","0.04072295376891908","9003","Machinery"
"Glasses","1198812","0.029105752302133497","9004","Machinery"
"Binoculars and telescopes","406981","0.009881022360198758","9005","Machinery"
"Photographic cameras","155235","0.0037689241170606345","9006","Machinery"
"Cinematographic cameras and projectors","907567","0.022034664567580565","9007","Machinery"
"Still image projectors","7032","0.00017072872993313608","9008","Machinery"
"Electrostatic photo-copyers","44648","0.0010840011851613568","9009","Machinery"
"Apparatus and equipment for photographic laboratories, n.e.c.","57955010","1.407079813788709","9010","Machinery"
"Optical microscopes","9891251","0.24014799782136834","9011","Machinery"
"Microscopes, other than optical","10523548","0.2554994289576784","9012","Machinery"
"Liquid crystal devices","31716029","0.7700280645182754","9013","Machinery"
"Navigational instruments","66764368","1.6209607157890378","9014","Machinery"
"Surveying instruments","1576940","0.03828625759112054","9015","Machinery"
"Balances of a sensitivity < 50 milligram","657390","0.01596065980812633","9016","Machinery"
"Drafting tables and machines","1790114","0.04346187281790757","9017","Machinery"
"Medical instruments","74580870","1.8107362361217763","9018","Machinery"
"Therapy applicances","3505935","0.08511999854637792","9019","Machinery"
"Other breathing appliances and gas masks","5046876","0.12253224254977618","9020","Machinery"
"Orthopedic appliances","20022474","0.4861222349458531","9021","Machinery"
"X-ray machines","39502188","0.9590668923236589","9022","Machinery"
"Instruments designed for demonstrational purposes","1639495","0.03980501977840258","9023","Machinery"
"Machines for testing the mechanical properties of materials","5315262","0.1290483405178983","9024","Machinery"
"Thermometers, hydrometers etc.","5561285","0.1350214910190843","9025","Machinery"
"Instruments for measuring properties of liquids or gases","31096885","0.7549959728280419","9026","Machinery"
"Instruments for physical or chemical analysis","61868694","1.5020994808364387","9027","Machinery"
"Gas, liquid or electricity meters","1677656","0.04073152419577721","9028","Machinery"
"Meters","2277648","0.05529862774100505","9029","Machinery"
"Instruments for measuring electricity","92956934","2.25688556318236","9030","Machinery"
"Measuring instruments","119834627","2.9094444922811573","9031","Machinery"
"Automatic regulating instruments","25237775","0.6127436393754627","9032","Machinery"
"Other parts for machines and appliances","724248","0.01758389379929095","9033","Machinery"
"Watches with precious metal","582294","0.014137416818499083","9101","Machinery"
"Watches","1079312","0.026204432161773743","9102","Machinery"
"Clocks with watch movements","1944","0.00004719804479380213","9103","Machinery"
"Instrument panel clocks for vehicles","80108","0.0019449284837149696","9104","Machinery"
"Other clocks","535290","0.012996214710737829","9105","Machinery"
"Apparatus for measuring intervals of time","86728","0.0021056543358420115","9106","Machinery"
"Time switches","149522","0.0036302191634047746","9107","Machinery"
"Watch movements, complete","1280","0.00003107690192184502","9108","Machinery"
"Clock movements, complete","32703","0.0007939905652735138","9109","Machinery"
"Clock cases","1449","0.00003518002412871362","9112","Machinery"
"Watch straps","46448","0.0011277030784889513","9113","Machinery"
"Other clock or watch parts","27247","0.0006615252708316495","9114","Machinery"
"Pianos","755395","0.01834010650566572","9201","Machinery"
"Musical instruments, string","577597","0.014023379155743686","9202","Machinery"
"Musical instruments, wind","1482457","0.035992320931525476","9205","Machinery"
"Musical instruments, percussion","166271","0.004036865280818042","9206","Machinery"
